#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A37492
#Date Time: 2023-06-27 08:42:32.768
#Sample rate: 80Hz
#Samples: 4991
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
7.2875,3.560290732688095
7.3,3.476086796655372
7.3125,3.395543901319725
7.325,3.318662046681152
7.3375,3.245441232739654
7.35,3.179542500192306
7.3625,3.117304808342033
7.375,3.05506711649176
7.3875,2.996490465338561
7.4,2.937913814185363
7.4125,2.886659244426315
7.425,2.831743633970191
7.4375,2.780489064211142
7.45,2.729234494452094
7.4625,2.674318883995971
7.475,2.608420151448622
7.4875,2.53153829681005
7.5,2.447334360777327
7.5125,2.355808343350454
7.525,2.256960244529433
7.5375,2.15079006431426
7.55,2.037297802704939
7.5625,1.923805541095617
7.575,1.80665223878922
7.5875,1.693159977179899
7.6,1.579667715570577
7.6125,1.47715857605248
7.625,1.381971517928533
7.6375,1.29776758189581
7.65,1.228207808651387
7.6625,1.165970116801114
7.675,1.114715547042065
7.6875,1.074444099374241
7.7,1.041494733100567
7.7125,1.019528488918118
7.725,1.004884326129818
7.7375,0.9939012040385936
7.75,0.982918081947369
7.7625,0.979257041250294
7.775,0.9719349598561442
7.7875,0.9646128784619945
7.8,0.9536297563707697
7.8125,0.9463076749766199
7.825,0.9389855935824701
7.8375,0.9389855935824701
7.85,0.9389855935824701
7.8625,0.9499687156736949
7.875,0.982918081947369
7.8875,1.059799936585942
7.9,1.195258442377713
7.9125,1.396615680716832
7.925,1.652888529512075
7.9375,1.945771785278066
7.95,2.256960244529433
7.9625,2.564487663083724
7.975,2.842726756061416
7.9875,3.080694401371284
8,3.271068517619178
8.012499999999999,3.413849104805099
8.025,3.512697203626121
8.0375,3.531002407111496
8.050000000000001,3.450459511775848
8.0625,3.369916616440201
8.074999999999999,3.296695802498703
8.0875,3.22713602925428
8.1,3.161237296706931
8.112500000000001,3.098999604856658
8.125,3.04042295370346
8.137499999999999,2.985507343247336
